index,question,category,correct_answer,predicted_answer,raw_response,reasoning_length,is_correct
512,"In Trentino Alto Adige e Valle d'Aosta il sistema elettorale proporzionale per l'elezione del Presidente della Regione è rimasto in vigore, per…",civic_education,B,B,"Il sistema elettorale proporzionale in Trentino-Alto Adige e Valle d'Aosta è stato mantenuto per salvaguardare le minoranze linguistiche (ladini, tedesco, francese), garantendo loro rappresentanza. Non è stato un referendum né una legge costituzionale, e non dipende dal numero di partiti.

FINALE: B",300,True
513,"Nella frase ""La città di Atene è nota per i suoi famosi templi"", ""di Atene"" è un complemento di:",literature,A,D,"""Di Atene"" indica il luogo a cui si riferisce la città menzionata (""la città di Atene""), quindi è un complemento di luogo.

FINALE: D",133,False
514,"Con il termine ""pianista"", in politica, si indica:",current_events,D,A,"Il termine ""pianista"" in politica si riferisce a un politico che cambia spesso schieramento o partito, come se stesse ""suonando"" (cambiando) posizioni.

FINALE: A",162,False
515,Un componente del gruppo dei Pooh è…,current_events,C,C,"Il gruppo dei Pooh è un noto gruppo musicale italiano degli anni '60-'70. Tra i componenti storici, Roberto Facchinetti (tastierista) è uno dei più noti. Alex Britti e Amedeo Minghi sono cantanti solisti, mentre Adriano Celentano è un altro grande nome della musica italiana ma non ha fatto parte dei Pooh.

FINALE: C",317,True
516,Qual era il nome in codice dello sbarco degli alleati in Sicilia nell'estate del '43?,tourism,A,A,"La risposta corretta è l'operazione Husky, che fu lo sbarco alleato in Sicilia nel 1943.

FINALE: A",99,True
517,L'Agenzia Regionale per la Protezione dell'Ambiente &amp;egrave;:,current_events,B,B,"L'Agenzia Regionale per la Protezione dell'Ambiente è comunemente abbreviata come ARPA in Italia.

FINALE: B",108,True
518,"Di quali stagioni, il solstizio e l'equinozio ne segnano l'inizio astronomico?",geography,C,C,"Il solstizio d'estate inizia a giugno e il solstizio d'inverno inizia a dicembre. L'equinozio segna l'inizio della primavera (marzo) e dell'autunno (settembre), ma non sono menzionati qui. Tra le opzioni, solo C include estate e inverno con i mesi corretti.

FINALE: C",268,True
519,"Chi è l'autore considerato il creatore del genere ""Poliziesco""?",literature,C,C,"Edgar Allan Poe è considerato il padre del genere poliziesco per il suo racconto ""I delitti della rue Morgue"", che introduce elementi chiave come l'investigatore razionale e il mistero da risolvere.

FINALE: C",209,True
520,"Il termine ""Barocco"" compare nella storia dell'arte per definire:",art_history,C,C,"Il Barocco è un periodo artistico che emerge nel XVII secolo come evoluzione del Rinascimento, caratterizzato da dinamismo, emozione e drammaticità, spesso con composizioni complesse e non rigorosamente classiche.

FINALE: C",224,True
521,"Secondo gli studi finora condotti sui bronzi di Riace, essi rappresenterebbero:",art_history,B,C,"I bronzi di Riace sono due statue greche classiche, note per la loro maestosità e realismo. Le interpretazioni storiche li descrivono come due guerrieri, probabilmente eroi o atleti, in posizione di combattimento o preparazione alla battaglia. Non ci sono prove che rappresentino figure come un imperatore e il suo servo o un guerriero con doti profetiche.

FINALE: C",367,False
522,Dove è situato il Monte Gargano?,geography,B,B,"Il Monte Gargano è noto per essere una località turistica in Italia, famosa per il suo promontorio e le sue spiagge. La sua posizione è sulla costa adriatica, in Puglia. Le altre opzioni non corrispondono a questa descrizione.

FINALE: B",237,True
523,Cosa veniva imposto al Cavaliere?,history,D,D,"Il cavaliere medievale era legato a un codice d'onore che includeva sia la fedeltà al signore (opzione A) che la difesa della fede cristiana (opzione B), ma il suo ruolo era più ampio: includeva anche la protezione dei deboli e la lotta alle ingiustizie (opzione D). L'opzione C è parziale e non rappresenta il codice completo.

FINALE: D",338,True
524,"Le «Quattro Stagioni», concerto per violini, archi e basso, è un capolavoro musicale di un grande compositore italiano. Di chi si tratta?",art_history,A,A,"Le «Quattro Stagioni» sono un'opera famosa del periodo barocco, e Vivaldi è il compositore italiano più associato a questo genere. Le altre opzioni (Puccini, Verdi, Mascagni) appartengono a periodi musicali successivi (romantico/operistico).

FINALE: A",252,True
525,"Nel periodo ""gioca al computer, invece di ripassare la lezione di geografia"" che tipo di proposizione è "" invece di ripassare la lezione di geografia ""?",orthography,C,C,"La frase ""invece di ripassare la lezione di geografia"" introduce un'azione alternativa o contraria rispetto alla principale (""gioca al computer""), senza usare congiunzioni esplicite come ""perché"" o ""affinché"". È quindi una subordinata avversativa implicita.

FINALE: C",268,True
526,"La Via Appia è l'antica via che da Roma giunge, terminando il suo percorso, fino a:",geography,A,D,"La Via Appia è una delle più antiche strade romane, nota per collegare Roma a sud. Tradizionalmente, terminava a Brindisi, un importante porto dell'epoca. Le altre opzioni (Andria e Barletta) sono città pugliesi, ma non il punto finale della Via Appia.

FINALE: A",263,False
527,"Quale fenomeno grammaticale ed ortografico è contenuto nell'espressione ""fu un'occasione eccezionale""?",morphology,A,A,"L'espressione ""fu un'occasione eccezionale"" contiene l'elisione (l'apocope è un fenomeno diverso, il troncamento non è presente e non c'è nessun fenomeno).

FINALE: A",166,True
528,"Un sinonimo di "" spossato "" è:",synonyms_and_antonyms,C,C,"""Spossato"" significa stanco o esausto. Tra le opzioni, ""estenuato"" è il sinonimo più diretto, mentre gli altri significano l'opposto o concetti diversi.

FINALE: C",163,True
529,"Come si traduce generalmente il termine ""hot spot""?",current_events,B,B,"Il termine ""hot spot"" si riferisce tipicamente a un'area o situazione di alta tensione o pericolo, quindi la traduzione più adatta è ""punto di crisi"".

FINALE: B",161,True
530,"Com'è l'iniziativa economica privata, ai sensi dell'articolo 41 della Costituzione?",civic_education,C,C,"L'articolo 41 della Costituzione italiana stabilisce che l'iniziativa economica privata è libera, ma deve essere regolata in modo da garantire la sicurezza sociale e l'interesse generale.

FINALE: C",198,True
531,Individuare l'aggettivo che contiene un errore ortografico.,morphology,C,C,"L'aggettivo ""deliterio"" non esiste in italiano; il termine corretto è ""doloso"" o ""dolente"". Le altre opzioni sono corrette.

FINALE: C",134,True
532,Il Partito Popolare Italiano venne fondato nello stesso anno in cui…,history,D,D,"Il Partito Popolare Italiano (PPI) fu fondato nel 1919. In quell'anno, il Ghana non aveva ancora ottenuto l'indipendenza (avvenne nel 1957), Stalin morì nel 1953, e Terranova e Labrador si unirono al Canada nel 1949. La Costituzione di Weimar fu firmata nel 1919.

FINALE: D",274,True
533,In cosa consiste il Giubileo?,current_events,B,B,"Il Giubileo è un anno speciale nella Chiesa cattolica, legato alla remissione dei peccati e alla penitenza. Non riguarda confessioni personali con il Papa (A), né feste giovanili (C), né dialogo interreligioso (D). La risposta corretta è B.

FINALE: B",251,True
534,Quale dei seguenti periodi ipotetici è dell'irrealtà?,syntax,A,C,"I periodi ipotetici dell'irrealtà usano il congiuntivo imperfetto o il condizionale passato per esprimere situazioni impossibili o irreali nel presente o nel passato.

- A) Usa il condizionale passato (""avrei insistito""), ma il contesto è reale (la festa è già finita).
- B) Usa l'indicativo presente (""mangi"", ""finiresti""), quindi è un'ipotesi reale.
- C) Usa il congiuntivo imperfetto (""potesse"") e il condizionale (""ne sarebbe""), tipico dell'irrealtà.
- D) Usa il congiuntivo presente (""gradirebbero""), ma il contesto è reale (il sindaco sta agendo).

FINALE: C",564,False
535,In quale provincia si trova Positano?,tourism,C,C,"Positano è una località turistica famosa in Costiera Amalfitana, che si trova in Campania. La Costiera Amalfitana è parte della provincia di Salerno. Quindi, la risposta corretta è Salerno.

FINALE: C",200,True
536,"Quale fra queste definizioni esprime il significato del termine ""suffragio""?",orthography,C,C,"Il termine ""suffragio"" è associato al concetto di voto o di espressione di una preferenza, come nel contesto elettorale.

FINALE: C",131,True
537,Qual è il sinonimo di ludico?,lexicon,A,A,"Il termine ""ludico"" si riferisce a qualcosa legato al gioco o al divertimento. Tra le opzioni, ""ricreativo"" è il sinonimo più adatto, poiché significa legato al divertimento e all'attività ricreativa.

FINALE: A",211,True
538,Qual è il soggetto nella frase: Domenica sarà data la notizia del tuo matrimonio con Andrea?,syntax,B,B,"La frase è passivizzata (""sarà data""), quindi il soggetto è chi riceve l'azione (notizia). ""Domenica"" è il complemento di tempo, ""con Andrea"" è un complemento di compagnia, ""del tuo matrimonio"" è un complemento di specificazione. Il soggetto è ""la notizia"".

FINALE: B",268,True
539,"In relazione al corretto uso delle maiuscole e delle minuscole, si indichi quale delle seguenti frasi contiene un errore ortografico:",morphology,B,B,"La frase con errore ortografico è la B, perché ""Francesi"" dovrebbe essere scritto con la minuscola (""francesi"") in quanto aggettivo e non come sostantivo.

FINALE: B",165,True
540,Quale è l'origine leggendaria del toponimo Baia?,tourism,C,C,"La leggenda di Baia è legata a Ulisse e al suo compagno Baios, sepolto e onorato in questo luogo. Le altre opzioni non sono storicamente o mitologicamente accertate.

FINALE: C",176,True
541,"Nella frase ""Sono guarito dall'influenza in pochi giorni"" il verbo ""guarire"" è usato in forma:",syntax,C,D,"Il verbo ""guarire"" nella frase è usato con il pronome riflessivo ""mi"" (implicito in ""sono guarito""), indicando che il soggetto compie l'azione su se stesso.

FINALE: D",167,False
542,La sigla EUR-LEX si riferisce…,civic_education,B,B,"EUR-LEX è il database ufficiale dell'UE che contiene i trattati, le leggi e la giurisprudenza. Non si riferisce ai trattati singolarmente (A), né alle sentenze (C), né alla Gazzetta Ufficiale (D).

FINALE: B",207,True
543,In che secolo visse lo scrttore Torquato Tasso?,literature,C,C,"Torquato Tasso è noto per il suo capolavoro ""La Gerusalemme liberata"", un poema epico del Rinascimento. Il Rinascimento italiano si collocò principalmente tra il XV e il XVI secolo, ma Tasso nacque nel 1544 e morì nel 1595, quindi visse prevalentemente nel XVI secolo.

FINALE: C",279,True
544,Licio Gelli fu condannato:,tourism,A,A,"Licio Gelli è noto per essere stato condannato per il crack del Banco Ambrosiano, ma non per omicidio o altri reati. La pena più rilevante è stata per il crack finanziario.

FINALE: A",183,True
545,"Con quale nome è più noto il pittore italiano Jacopo Robusti, vissuto nel XVI secolo, uno dei più grandi esponenti della scuola veneziana?",art_history,D,D,"Jacopo Robusti è noto come Tintoretto per il suo stile drammatico e luminoso, tipico della scuola veneziana del XVI secolo. Le altre opzioni (Tiepolo, Guercino, Canaletto) appartengono ad altri periodi o stili differenti.

FINALE: D",232,True
546,In quale arcipelago è situata Lampedusa?,geography,D,D,"Lampedusa è un'isola italiana nel Mar Mediterraneo meridionale. Le isole Egadi sono vicino alla Sicilia occidentale, mentre La Maddalena è in Sardegna. L'arcipelago delle Pelagie include Lampedusa, Linosa e Lampedusa, che si trova più a sud rispetto alle altre opzioni.

FINALE: D",280,True
547,Qual è il contrario di militare?,lexicon,A,A,"Il termine ""militare"" si riferisce all'ambito delle forze armate o dell'organizzazione militare. Il suo contrario è quindi qualcosa che non riguarda l'esercito o la guerra, ma la sfera civile, cioè la vita ordinaria e non militare.

FINALE: A",242,True
548,Qual è la pianura più grande d’Italia?,geography,D,D,"La Pianura Padana è la più estesa d'Italia, coprendo gran parte del Nord. Le altre sono più piccole o locali.
FINALE: D",119,True
549,IL sinonimo di propedeutico,synonyms_and_antonyms,A,A,"Il termine ""propedeutico"" significa che prepara o introduce a qualcosa di più complesso. Tra le opzioni, ""preparatorio"" è il sinonimo più diretto, mentre ""incline"" e ""simile"" non sono correlati.

FINALE: A",205,True
550,"Quale, fra i seguenti, è un sinonimo della parola “antitetico”?",synonyms_and_antonyms,B,B,"La parola ""antitetico"" significa opposto o contrario. Tra le opzioni, ""opposto"" (B) è il sinonimo diretto.

FINALE: B",117,True
551,In Italia la prostituzione è …,civic_education,B,B,"La prostituzione in Italia non è regolamentata da una legge specifica che la renda legale o illegale in modo esplicito. Tuttavia, è tollerata in alcuni contesti, ma non è regolamentata come in altri Paesi (es. Germania). Non è legale solo su strada o per minorenni (che sono protetti da leggi specifiche).

FINALE: B",316,True
552,"Lo snodo narrativo del romanzo ""Il nome della rosa"" ruota intorno:",literature,B,B,"Il romanzo ""Il nome della rosa"" di Umberto Eco è ambientato in un monastero medievale e ruota attorno a una serie di misteriosi omicidi di monaci. La trama include indagini e rivelazioni su chi è il colpevole.

FINALE: B",220,True
553,Capacità di ascolto e di adattamento sono qualità della guida turistica?,tourism,A,A,"Le guide turistiche devono adattarsi ai gruppi e alle situazioni, ma anche ascoltare i clienti per personalizzare l'esperienza. Entrambe le qualità sono essenziali.

FINALE: A",175,True
554,Quale tra i seguenti organismi politici svolse un ruolo importante nell'Italia fra le due guerre?,history,A,A,"Il Gran Consiglio del Fascismo fu l'organo supremo del Partito Nazionale Fascista e played un ruolo chiave durante il regime fascista in Italia tra le due guerre mondiali.

FINALE: A",182,True
555,"Quale artista nel 1949 realizzò l'opera ""l'Ambiente spaziale a luce nera"", in cui una serie di elementi fosforescenti e fluttuanti sono appesi al soffitto dello spazio espositivo completamente nero?",art_history,C,A,"L'opera ""l'Ambiente spaziale a luce nera"" è associata all'arte ambientale e alla pittura monocromatica. Yves Klein è noto per i suoi ambienti immersivi con pigmenti fosforescenti e il blu Klein. Lucio Fontana è famoso per i buchi e i tagli, mentre Dadamaino e De Chirico non si adattano a questa descrizione.

FINALE: A",319,False
556,"Nella frase “Anna, la figlia del mugnaio, comprava i vestiti in una boutique per essere sempre elegante”, il complemento oggetto è…",orthography,C,C,"Il complemento oggetto è colui che riceve l'azione del verbo. Nella frase, il verbo è ""comprava"" e l'azione è comprare. Chi riceve questa azione? I vestiti, perché Anna li compra.

FINALE: C",190,True
557,Il nome di un famoso quartiere di Napoli è?,current_events,A,A,"Scampia è un quartiere famoso di Napoli, noto per la sua storia e il contesto sociale. Falpia, Stampia e Zempia non sono quartieri noti della città.

FINALE: A",159,True
558,"Storia della bambina perduta, ""L'amica geniale"", ""Storia del nuovo cognome"", ""Storia di chi fugge e di chi resta"" sono romanzi di...",current_events,B,B,"I romanzi citati appartengono a una saga famosa ambientata a Napoli, con protagoniste due amiche e tematiche di amicizia e crescita. L'autrice è nota per il suo stile intimo e coinvolgente.

FINALE: B",200,True
559,Qual è la proposizione consecutiva nella frase: Mi chiedo perché Claudia sia così testarda da non capire che noi agiamo per il suo bene?,syntax,C,D,"La proposizione consecutiva esprime una conseguenza o un risultato. Nella frase, ""da non capire che noi agiamo per il suo bene"" è la parte che indica il risultato della testardaggine di Claudia.

FINALE: D",205,False
560,"A Macerata Campania, la festa in onore di Sant’Antonio Abate è l’occasione per riproporre, sotto una nuova veste di natura musicale, gli strumenti di uso contadino. Quale è la denominazione di questa festa?",tourism,B,A,"La festa in questione è legata a strumenti contadini e ha una denominazione che suona come un termine dialettale o locale. Tra le opzioni, ""Romba de scuggnizzi"" sembra più adatto, in quanto ""scuggnizzi"" potrebbe riferirsi a rumori o suoni tipici degli strumenti contadini. Le altre opzioni non sembrano altrettanto pertinenti.

FINALE: A",337,False
561,La protettrice dei musicisti &amp;egrave;:,current_events,B,B,"Santa Cecilia è la santa patrona della musica e dei musicisti, celebrata il 22 novembre. Le altre opzioni non sono associate a questo ruolo.

FINALE: B",151,True
562,Il GDPR è un regolamento europeo in materia di:,civic_education,C,C,"Il GDPR (General Data Protection Regulation) è il regolamento europeo che disciplina la protezione dei dati personali. Non riguarda la scuola, la sanità o il bullismo.

FINALE: C",178,True
563,"Completare con il termine più appropriato la frase ""In previsione del matrimonio della figlia, in casa Bianchi ... i preparativi"".",lexicon,A,A,"""Fervono"" significa essere in piena attività, adatto ai preparativi di un matrimonio.
""Vertono"" non ha senso in questo contesto.
""Sogliono"" e ""suggono"" non si usano con ""preparativi"".

FINALE: A",194,True
564,Chi tra i seguenti morì mentre effettuava la circumnavigazione del globo terrestre?,history,A,A,"Ferdinando Magellano è noto per aver intrapreso la prima circumnavigazione del globo, ma morì durante il viaggio. Colombo non completò la circumnavigazione, Diaz e Righi non sono esploratori marittimi noti per questo viaggio.

FINALE: A",236,True
565,Chi era il Capo di Stato maggiore generale che fu ritenuto responsabile della disfatta di Caporetto?,history,A,A,"La disfatta di Caporetto (1917) è associata al generale Luigi Cadorna, che era Capo di Stato Maggiore dell'esercito italiano durante la Prima Guerra Mondiale. Le altre opzioni (Pepe, Bava Beccaris, Menotti) non sono legate a questo evento.

FINALE: A",250,True
566,"Cosa si intende quando si parla di settore primario, nell'economia di un luogo geografico?",geography,A,A,"Il settore primario riguarda l'estrazione e lo sfruttamento diretto delle risorse naturali, come l'agricoltura, la pesca e l'estrazione mineraria. Le altre opzioni si riferiscono ad altri settori (secondario, terziario).

FINALE: A",231,True
567,Caratteristiche dei postimpressionisti furono:,art_history,B,B,"I postimpressionisti cercavano di superare l'impressione momentanea, usando il colore in modo più libero e il contorno per dare solidità all'immagine.

FINALE: B",161,True
568,"Quale è la denominazione di un polpettone fatto con patate bollite e schiacciate e impastate con uova, prosciutto, mozzarella ed altro e poi cotto in forno?",tourism,C,C,"Il polpettone è un piatto a base di carne, non di patate. La schiacciata è un dolce o pane tipico toscano. Il gattò è un piatto napoletano a base di patate, uova e ingredienti come prosciutto e mozzarella, cotto al forno.

FINALE: C",232,True
569,Qual è l'unica opera romana ricordata dalle fonti del pittore pisano Aurelio Lomi?,art_history,C,C,"L'Aurelio Lomi è un pittore pisano attivo nel XVI secolo, noto per i suoi lavori in chiese romane. Tra le opere citate, la più documentata e associata al suo nome è la decorazione a fresco della Cappella Pinelli nella Chiesa di Santa Maria in Vallicella (opzione C). Le altre opzioni non sono direttamente collegate a Lomi in modo certo.

FINALE: C",348,True
570,"Ad opera di chi iniziarono gli Scavi nel 1921 e che hanno riportato alla luce gran parte dell'antica città, facendone ricostruire completamente la pianta?",tourism,C,C,"Giorgio Buchner è noto per i suoi studi su Pompei, ma non è associato agli scavi del 1921.
Zahi Hawass è un archeologo egiziano, attivo in epoca più recente.
Amedeo Maiuri è stato il direttore degli scavi di Pompei dal 1924, ma gli scavi del 1921 furono avviati da un altro archeologo.

FINALE: C",296,True
571,La pesca in Puglia è orientata soprattutto a:,geography,C,C,"La Puglia ha un lungo litorale e una forte tradizione nella pesca di molluschi e crostacei, come cozze e gamberi, grazie alle sue acque ricche di nutrienti. Il tonno è presente ma non è il principale, mentre il merluzzo è meno comune in queste acque. La risposta più adatta è quindi i molluschi e crostacei.

FINALE: C",318,True
572,"Quale famoso storico italiano ha scritto, tra il 1967 e il
1975, in cinque volumi, la storia del Partito Comunista
Italiano?",current_events,B,B,"Paolo Spriano è noto per la sua opera monumentale sulla storia del PCI, pubblicata in cinque volumi tra il 1967 e il 1975. Benedetto Croce è un grande storico, ma non è associato a questa opera specifica. Gaetano Salvemini è un altro storico importante, ma non ha scritto questa storia.

FINALE: B",297,True
573,"Indicare qual è il significato del termine ""pandemia"".",lexicon,D,D,"Il termine ""pandemia"" si riferisce a un'epidemia di ampia scala, che colpisce diverse regioni o paesi. La parola ""pandemia"" deriva dal greco ""pan"" (tutto) e ""demos"" (popolo), indicando una malattia che si diffonde su larga scala. Tra le opzioni, solo D) descrive correttamente questo concetto.

FINALE: D",304,True
574,"Quale dei seguenti termini è sinonimo di ""malgarbo""?",synonyms_and_antonyms,C,C,"Il termine ""malgarbo"" significa mancanza di educazione o scortesia. Tra le opzioni:
- A) gentilezza e D) cortesia sono opposti (antoni).
- B) creanza significa educazione, ma non è esattamente sinonimo.
- C) villanìa è il contrario di ""malgarbo"", ma in realtà è un sinonimo (significa maleducazione).

FINALE: C",311,True
575,Cosa si intende per impatto ambientale?,civic_education,B,B,"L'impatto ambientale si riferisce agli effetti che un'attività umana (come una struttura o un'impianto) ha sull'ambiente circostante.

FINALE: B",144,True
576,"“Osservando quello ... di corpi, provai ribrezzo”. Scegliere l’opzione che completa correttamente la precedente frase.",lexicon,A,A,"La frase ""Osservando quello ... di corpi, provai ribrezzo"" richiede un termine che evoca un'immagine negativa o sgradevole associata ai corpi. Tra le opzioni:

- **Scempio** (A) significa distruzione o rovina, adatto a descrivere uno spettacolo orribile.
- **Stagno** (B) è un corpo d'acqua stagnante, non collegato al ribrezzo.
- **Stormo** (C) si riferisce a uccelli in volo, irrilevante qui.
- **Stato** (D) è generico e non evoca ribrezzo.

La scelta più coerente è **scempio**, che suggerisce un orrore visivo legato ai corpi.

FINALE: A",542,True
577,L'art. 2 della Costituzione riconosce:,civic_education,A,A,"L'art. 2 della Costituzione italiana stabilisce i diritti inviolabili dell'uomo come fondamento della Repubblica. Le minoranze linguistiche sono regolate dall'art. 6, le libertà del cittadino dall'art. 3, mentre i diritti inviolabili del cittadino non sono espressamente menzionati in questo articolo specifico.

FINALE: A",322,True
578,"Nel periodo ""Paola legge sempre una fiaba al fratellino, per farlo addormentare"", ""per farlo addormentare"" è una proposizione subordinata:",syntax,B,B,"La proposizione ""per farlo addormentare"" esprime lo scopo dell'azione principale (""Paola legge sempre una fiaba""). Quindi è una proposizione finale.

FINALE: B",159,True
579,Quale delle seguenti espressioni è errata?,orthography,A,A,"L'espressione errata è ""C'uniamo"", perché l'apostrofo non è corretto in questo contesto. La forma corretta è ""Ci uniamo"".

FINALE: A",132,True
580,La NASpI (Nuova prestazione di Assicurazione Sociale per l'Impiego) è collegata:,current_events,A,A,"La NASpI è stata introdotta con il Jobs Act, che ha riformato il sistema di ammortizzatori sociali in Italia.

FINALE: A",120,True
581,"L'impressionismo ebbe notevoli ripercussioni nell'arte, fondamentali per:",art_history,B,B,"L'impressionismo ruppe con i canoni accademici, influenzando movimenti come il postimpressionismo e le avanguardie del Novecento (fauvismo, cubismo, ecc.). Non tornò al classicismo né rifiutò l'arte moderna.

FINALE: B",218,True
582,"Quale olio su tavola, custodito nella Pinacoteca Capitolina, viene identificato con un dipinto di Tiziano Vecellio visto da Marcantonio Michiel nel 1531 a Venezia?",art_history,A,D,"Tiziano è noto per i suoi ritratti e figure sacre, ma il ""Noli me tangere"" (Cristo che dice a Maria Maddalena di non toccarlo dopo la Resurrezione) è un soggetto iconografico tipico del Rinascimento, spesso associato a lui. La Pinacoteca Capitolina ospita diverse opere di Tiziano, e questo dipinto è documentato da Michiel nel 1531.

FINALE: D",344,False
583,La doppia notte dei tigli - Cristo si è fermato ad Eboli: chi ha scritto queste opere?,literature,B,B,"1. ""La doppia notte dei tigli"" e ""Cristo si è fermato ad Eboli"" sono opere note di Carlo Levi.
2. Carducci è noto per ""Odi barbare"", Aretino per opere rinascimentali, Pellico per ""Le mie prigioni"".
3. Levi è l'autore giusto per entrambi i titoli.

FINALE: B",257,True
584,Una nota caratteristica dell'abitato di Caiazzo è costituita da:,tourism,C,B,"Caiazzo è un borgo medievale con strade strette e tortuose tipiche dei centri storici meridionali. Le case hanno spesso facciate decorate in stile rococò, ma l'elemento più distintivo è l'acciottolato, un pavimento in pietra tipico delle vie antiche.

FINALE: B",261,False
585,I sostantivi caratterizzanti un lago sono:,geography,B,B,"Un lago ha un **immissario** (fiume che vi confluisce) e un **emissario** (fiume che ne esce). L'estuario è tipico dei fiumi, non dei laghi.

FINALE: B",151,True
586,Individuare il termine sinonimo della parola aniconico.,synonyms_and_antonyms,B,C,"La parola ""aniconico"" si riferisce all'assenza di immagini o figure, quindi il suo sinonimo è ""simbolico"", che indica rappresentazioni non figurative.

FINALE: C",161,False
587,Nella frase “Tutti considerano Lucia affidabile” la parola “affidabile” è un...,syntax,A,A,"La parola ""affidabile"" descrive l'oggetto ""Lucia"", indicandone una qualità. In sintassi, questo è un complemento predicativo dell'oggetto.

FINALE: A",149,True
588,"Di fronte alla crescente tensione sociale ed all'inasprimento delle vertenze nel settore privato, Giolitti, in qualità di Ministro degli Interni del governo Zanardelli (1901-1903), decise di mantenere una linea di:",history,C,A,"Giolitti era noto per il suo approccio pragmatico e moderato, preferendo soluzioni negoziali alle repressioni violente. La sua strategia durante il governo Zanardelli fu orientata a ridurre i conflitti sociali con dialogo e riforme graduali, non con intransigenza o neutralità passiva.

FINALE: A",296,False
589,"Un contrario di ""avvincente"" è:",synonyms_and_antonyms,D,D,"""Avvincente"" significa che qualcosa è affascinante o interessante. Un contrario potrebbe essere qualcosa di poco coinvolgente o monotono. Tra le opzioni, ""noioso"" (D) è il contrario diretto, in quanto indica mancanza di interesse.

FINALE: D",241,True
590,Cosa s’intende per “Via della seta”?,history,A,B,"La Via della Seta collegava l'impero cinese con il Medio Oriente e l'Europa, ma il Califfato (islamico) era attivo dopo la caduta dell'Impero Romano d'Occidente e durante il dominio cinese della dinastia Tang. L'opzione B menziona correttamente il Califfato come partner commerciale della Cina.

FINALE: B",305,False
591,"Prima di diventare Imperatore del Messico, Massimiliano d'Asburgo sostituì Radetzsky come...",history,B,B,"Massimiliano d'Asburgo era arciduca austriaco e aveva esperienza militare. Il Lombardo-Veneto era un territorio sotto il dominio austriaco, e la sua nomina come governatore era un ruolo prestigioso prima della sua avventura messicana.

FINALE: B",245,True
592,Qual è la distanza approssimativa in linea d’aria tra Genova e Ancona?,geography,B,B,"Genova e Ancona sono entrambe città costiere italiane, con Genova al centro-nord e Ancona al centro-est. La distanza in linea d’aria è approssimativamente 300 km, ma considerando la curvatura della Terra e la posizione effettiva, si avvicina ai 350 km.

FINALE: B",263,True
593,Che tipo di proposizione contiene la frase: La giornata è così bella che dopo colazione credo che andrò al mare a pescare?,syntax,D,D,"La frase contiene una proposizione consecutiva (""così... che""), che indica una conseguenza logica tra due azioni.
FINALE: D",123,True
594,"Può essere un contrario di ""antagonista""…",synonyms_and_antonyms,D,D,"""Antagonista"" significa oppositore o avversario. Un suo contrario potrebbe essere un alleato o sostenitore. Tra le opzioni:

- A) Emulo: chi imita, non è un contrario.
- B) Corretto: non è un contrario diretto.
- C) Ripassato: non ha senso in questo contesto.
- D) Gregario: significa compagno o seguace, quindi opposto a antagonista.

FINALE: D",345,True
595,"Gli imprenditori individuali, anche artigiani, e le società, anche cooperative:",civic_education,C,C,"L'art. 45 del D.Lgs. 50/2016 definisce gli operatori economici come imprenditori individuali, società (comprese cooperative) e altri soggetti che svolgono attività economica. L'art. 47 si riferisce invece alle stazioni appaltanti.

FINALE: C",241,True
596,Qual è il sinonimo di socievole?,lexicon,B,B,"""Socievole"" significa amichevole e cordiale. Tra le opzioni, ""affabile"" (B) ha lo stesso significato. Le altre non si adattano: ombroso (A) è cupo, mellifluo (C) è dolciastro, scabro (D) è ruvido.

FINALE: B",207,True
597,"Si è iscritto al Partito socialista unitario nel 1922 ed è entrato nella direzione del partito nel 1925. Nel 1926, con il consolidarsi del regime fascista, è espatriato in Austria e poi in Francia, ove ha svolto lavori vari. È stato eletto Presidente della Repubblica il 28 dicembre 1964 (al ventunesimo scrutinio). Di chi si tratta?",civic_education,A,A,"Il personaggio descritto si iscrive al Partito Socialista Unitario nel 1922, entra nella direzione del partito nel 1925, espatria in Austria e Francia durante il fascismo e viene eletto Presidente della Repubblica nel 1964. Queste informazioni corrispondono a Giuseppe Saragat, noto per il suo impegno nel socialismo e l'elezione presidenziale.

FINALE: A",355,True
598,La Scuola dei Caracci fu anche chiamata,art_history,A,C,"La Scuola dei Caracci è nota come Accademia degli Incamminati, che evoca il percorso di crescita artistica. La risposta A) è errata perché include entrambe le opzioni, ma solo C) è corretta storicamente.

FINALE: C",214,False
599,"Il termine ""guai"" contiene:",morphology,C,D,"Il termine ""guai"" contiene due vocali consecutive, ""u"" e ""a"", che formano un dittongo (suono vocalico formato da due vocali pronunciate in una sola emissione di voce).

FINALE: D",178,False
600,"Qual è il sinonimo della parola ""condottiero""?",literature,B,B,"Il termine ""condottiero"" si riferisce a un capo militare o un leader di un esercito. Tra le opzioni, ""capitano"" è il sinonimo più adatto, poiché indica un comandante o un capo in ambito militare o navale.

FINALE: B",215,True
601,"Un sinonimo di ""ghermire"" è:",synonyms_and_antonyms,A,A,"""Ghermire"" significa afferrare o prendere con forza, quindi il sinonimo più adatto è ""agguantare"".

FINALE: A",109,True
602,Qual è il contrario di ampliare?,lexicon,A,A,"Ampliare significa aumentare o estendere qualcosa. Il contrario quindi è ridurre o diminuire.

FINALE: A",104,True
